QA,NCGA,CGA,CCGA,CA,PIS,HYP,AST,GUA,RUT,VR,VG,PB2 ,PC1,EPI,OA,UA  ,MA,CRA,QUE,MDA,HDL
2.845,0.134,0.83,0.058,5.7,0.099,0.895,0.0445,0.0162,0.087,3.43,0.745,1.88,1.935,2.415,0.7725,5.7,8,8.05,0.0188,0.032,0.611
5.05,0.163,0.8,0.061,6.57,0.105,0.255,0.0396,0.012,0.079,3.765,0.815,1.39,1.255,1.705,0.6,4.135,7.5,7.25,0.0188,0.024,0.568
2.24,0.115,1.05,0.065,6.21,0.131,0.68,0.0445,0.0139,0.137,4.165,0.955,1.45,1.515,1.845,0.732,4.065,9.25,8.75,0.0187,0.0455,0.562
1.79,0.116,1.23,0.066,5.7,0.126,2.135,0.069,0.0253,0.223,4.33,1.045,1.67,1.71,3.14,0.4905,2.135,9.4,10.05,0.0192,0.04,0.704
2.01,0.124,0.99,0.063,4.62,0.097,0.495,0.0427,0.0137,0.138,3.54,0.765,1.295,1.27,2.1,0.4935,2.265,7.6,7.35,0.0187,0.0355,0.576
3.63,0.141,0.795,0.061,8.43,0.115,0.405,0.0423,0.0127,0.099,3.415,0.705,1.34,1.19,2.56,0.447,2.9,6.95,6.55,0.0186,0.043,0.604
4.18,0.105,0.69,0.055,10.8,0.121,0.365,0.0418,0.0129,0.075,2.81,0.605,1.185,1.085,1.805,0.4185,3.535,8.15,8.6,0.0188,0.0255,0.545
1.195,0.119,1.085,0.06,5.64,0.095,0.715,0.0434,0.0149,0.132,3.12,0.65,1.33,1.26,1.38,0.7875,5.2,4.9,4.65,0.0187,0.065,0.522
1.295,0.104,1.055,0.067,2.94,0.117,1.865,0.0625,0.0241,0.2,4.025,0.995,1.72,1.56,2.68,0.7275,3.635,9.6,9.15,0.0213,0.0425,0.521
3.165,0.167,1.215,0.061,4.62,0.111,0.94,0.0452,0.0144,0.16,4.68,1.055,2.125,2.4,2.735,0.4215,2.765,8.75,8.55,0.0187,0.0395,0.507
2.805,0.106,1.085,0.061,8.79,0.088,1.065,0.0505,0.0189,0.182,3.45,0.77,1.47,1.42,2.12,0.687,3.1,8.05,8.4,0.019,0.031,0.596
2.385,0.057,0.635,0.058,13.83,0.1,1.015,0.0483,0.0169,0.127,3.1,0.705,1.23,1.315,2.335,0.6255,3.565,7.55,7.75,0.0187,0.03,0.575
2.005,0.09,0.71,0.056,9.9,0.11,0.6,0.0458,0.0145,0.106,3.88,0.86,1.06,0.96,1.51,0.747,5.7,8.25,7.25,0.0186,0.036,0.515
1.915,0.114,1.12,0.07,4.8,0.132,1.01,0.051,0.0169,0.187,4.92,1.03,1.92,1.79,2.575,0.7275,3.865,7.35,6.15,0.0191,0.0385,0.874
5.65,0.19,1.775,0.064,9.78,0.114,1.6,0.057,0.0212,0.313,4.97,1.005,1.955,2.07,2.645,0.7575,2.7,7.75,6.15,0.0195,0.101,0.882
3.635,0.089,0.885,0.06,9.51,0.145,0.375,0.0423,0.0123,0.105,3.005,0.665,1.105,0.93,1.395,0.675,2.965,9.05,8.95,0.0187,0.075,0.886
1.775,0.068,0.655,0.053,10.89,0.076,0.44,0.0414,0.013,0.108,1.795,0.37,0.935,0.855,0.955,0.9105,3.365,4.89,4.8,0.0189,0.1615,1.061
2.565,0.082,0.84,0.077,8.13,0.102,0.875,0.0505,0.0174,0.128,2.235,0.585,0.8,0.685,1.135,0.6255,4,7.15,6.8,0.019,0.129,0.809
2.775,0.068,1.615,0.058,10.56,0.087,1.785,0.056,0.022,0.132,2.32,0.465,1.24,1.3,2.33,0.6735,3.9,8.4,7.65,0.02,0.1585,0.796
2.055,0.079,1.67,0.062,5.37,0.099,1.89,0.0635,0.0249,0.15,2.43,0.555,1.145,1.15,1.635,0.693,3.3,7.65,5.95,0.0218,0.0235,1.003
2.85,0.139,0.835,0.063,5.705,0.104,0.9,0.045,0.0167,0.092,3.435,0.75,1.885,1.94,2.42,0.7875,5.705,8.005,8.055,0.0193,0.0325,0.611
5.055,0.168,0.805,0.066,6.575,0.11,0.26,0.0401,0.0125,0.084,3.77,0.82,1.395,1.26,1.71,0.615,4.14,7.505,7.255,0.0193,0.0245,0.568
2.245,0.12,1.055,0.07,6.215,0.136,0.685,0.045,0.0144,0.142,4.17,0.96,1.455,1.52,1.85,0.747,4.07,9.255,8.755,0.0192,0.046,0.562
1.795,0.121,1.235,0.071,5.705,0.131,2.14,0.0695,0.0258,0.228,4.335,1.05,1.675,1.715,3.145,0.5055,2.14,9.405,10.055,0.0197,0.0405,0.704
2.015,0.129,0.995,0.068,4.625,0.102,0.5,0.0432,0.0142,0.143,3.545,0.77,1.3,1.275,2.105,0.5085,2.27,7.605,7.355,0.0192,0.036,0.576
3.635,0.146,0.8,0.066,8.435,0.12,0.41,0.0428,0.0132,0.104,3.42,0.71,1.345,1.195,2.565,0.462,2.905,6.955,6.555,0.0191,0.0435,0.604
4.185,0.11,0.695,0.06,10.805,0.126,0.37,0.0423,0.0134,0.08,2.815,0.61,1.19,1.09,1.81,0.4335,3.54,8.155,8.605,0.0193,0.026,0.545
1.2,0.124,1.09,0.065,5.645,0.1,0.72,0.0439,0.0154,0.137,3.125,0.655,1.335,1.265,1.385,0.8025,5.205,4.905,4.655,0.0192,0.0655,0.522
1.3,0.109,1.06,0.072,2.945,0.122,1.87,0.063,0.0246,0.205,4.03,1,1.725,1.565,2.685,0.7425,3.64,9.605,9.155,0.0218,0.043,0.521
3.17,0.172,1.22,0.066,4.625,0.116,0.945,0.0457,0.0149,0.165,4.685,1.06,2.13,2.405,2.74,0.4365,2.77,8.755,8.555,0.0192,0.04,0.507
2.81,0.111,1.09,0.066,8.795,0.093,1.07,0.051,0.0194,0.187,3.455,0.775,1.475,1.425,2.125,0.702,3.105,8.055,8.405,0.0195,0.0315,0.596
2.39,0.062,0.64,0.063,13.835,0.105,1.02,0.0488,0.0174,0.132,3.105,0.71,1.235,1.32,2.34,0.6405,3.57,7.555,7.755,0.0192,0.0305,0.575
2.01,0.095,0.715,0.061,9.905,0.115,0.605,0.0463,0.015,0.111,3.885,0.865,1.065,0.965,1.515,0.762,5.705,8.255,7.255,0.0191,0.0365,0.515
1.92,0.119,1.125,0.075,4.805,0.137,1.015,0.0515,0.0174,0.192,4.925,1.035,1.925,1.795,2.58,0.7425,3.87,7.355,6.155,0.0196,0.039,0.874
